[2026-07-27 06:37:30,571] Using g1_smplx body model
[2026-07-27 06:42:58,921] static_cam - init_opt |   68/400 | keypoint_tracking:   2.433 | human_smoothness:   0.114 | human_pose_reg:   0.081 | human_foot_contact:   0.036 | human_global_init_reg:   0.018 | verts_tracking:   0.149 | obj_smoothness:   0.333 | depth_pointcloud:   0.565
[2026-07-27 06:42:59,307] static_cam - init_opt |   69/400 | keypoint_tracking:   2.430 | human_smoothness:   0.114 | human_pose_reg:   0.082 | human_foot_contact:   0.036 | human_global_init_reg:   0.018 | verts_tracking:   0.150 | obj_smoothness:   0.333 | depth_pointcloud:   0.561
[2026-07-27 06:42:59,690] static_cam - init_opt |   70/400 | keypoint_tracking:   2.426 | human_smoothness:   0.113 | human_pose_reg:   0.083 | human_foot_contact:   0.036 | human_global_init_reg:   0.018 | verts_tracking:   0.151 | obj_smoothness:   0.333 | depth_pointcloud:   0.558
[2026-07-27 06:43:00,076] static_cam - init_opt |   71/400 | keypoint_tracking:   2.423 | human_smoothness:   0.113 | human_pose_reg:   0.084 | human_foot_contact:   0.036 | human_global_init_reg:   0.018 | verts_tracking:   0.151 | obj_smoothness:   0.332 | depth_pointcloud:   0.555
[2026-07-27 06:43:00,464] static_cam - init_opt |   72/400 | keypoint_tracking:   2.420 | human_smoothness:   0.113 | human_pose_reg:   0.085 | human_foot_contact:   0.036 | human_global_init_reg:   0.018 | verts_tracking:   0.151 | obj_smoothness:   0.331 | depth_pointcloud:   0.551
[2026-07-27 06:43:00,850] static_cam - init_opt |   73/400 | keypoint_tracking:   2.417 | human_smoothness:   0.113 | human_pose_reg:   0.085 | human_foot_contact:   0.036 | human_global_init_reg:   0.017 | verts_tracking:   0.153 | obj_smoothness:   0.331 | depth_pointcloud:   0.548
[2026-07-27 06:43:01,234] static_cam - init_opt |   74/400 | keypoint_tracking:   2.413 | human_smoothness:   0.113 | human_pose_reg:   0.086 | human_foot_contact:   0.036 | human_global_init_reg:   0.017 | verts_tracking:   0.153 | obj_smoothness:   0.332 | depth_pointcloud:   0.545
[2026-07-27 06:43:01,709] static_cam - init_opt |   75/400 | keypoint_tracking:   2.410 | human_smoothness:   0.113 | human_pose_reg:   0.087 | human_foot_contact:   0.036 | human_global_init_reg:   0.017 | verts_tracking:   0.155 | obj_smoothness:   0.332 | depth_pointcloud:   0.543
[2026-07-27 06:43:02,100] static_cam - init_opt |   76/400 | keypoint_tracking:   2.407 | human_smoothness:   0.113 | human_pose_reg:   0.088 | human_foot_contact:   0.035 | human_global_init_reg:   0.017 | verts_tracking:   0.156 | obj_smoothness:   0.331 | depth_pointcloud:   0.540
[2026-07-27 06:43:02,495] static_cam - init_opt |   77/400 | keypoint_tracking:   2.404 | human_smoothness:   0.113 | human_pose_reg:   0.089 | human_foot_contact:   0.035 | human_global_init_reg:   0.017 | verts_tracking:   0.156 | obj_smoothness:   0.332 | depth_pointcloud:   0.537
[2026-07-27 06:43:02,882] static_cam - init_opt |   78/400 | keypoint_tracking:   2.401 | human_smoothness:   0.113 | human_pose_reg:   0.090 | human_foot_contact:   0.035 | human_global_init_reg:   0.017 | verts_tracking:   0.158 | obj_smoothness:   0.332 | depth_pointcloud:   0.534
